user_id,movie_id,rating
1,206647,1.0
1,559,1.0
1,38757,1.0
1,209112,4.0
1,49521,5.0
1,1865,5.0
1,41154,1.0
1,20662,2.0
1,254,3.0
1,597,2.0
1,271110,2.0
1,558,3.0
1,68721,1.0
1,36668,3.0
1,68728,2.0
1,10193,2.0
1,168259,4.0
1,54138,5.0
1,81005,4.0
1,9543,4.0
1,38356,1.0
1,105864,3.0
1,62177,5.0
1,17979,5.0
1,76757,4.0
1,258489,2.0
1,14160,2.0
1,1726,4.0
1,297761,1.0
1,64686,2.0
1,10192,3.0
1,82690,1.0
1,5255,3.0
1,47933,4.0
1,118340,5.0
1,4922,5.0
1,49538,2.0
1,27022,4.0
1,503,5.0
1,241259,2.0
1,810,5.0
1,10140,3.0
1,676,4.0
1,1858,2.0
1,675,5.0
1,6479,2.0
1,118,5.0
1,2062,1.0
1,272,4.0
1,10195,1.0
1,57165,5.0
1,62213,3.0
1,49444,2.0
1,117251,5.0
1,11619,2.0
1,82703,5.0
1,80321,4.0
1,43074,4.0
1,95,2.0
1,2310,2.0
1,616,5.0
1,82702,3.0
1,10048,1.0
1,1927,4.0
1,72559,3.0
1,2114,3.0
1,1771,4.0
1,36643,4.0
1,8619,2.0
1,50620,5.0
1,77950,3.0
1,270946,1.0
1,102899,4.0
1,74,1.0
1,8961,4.0
1,27576,5.0
1,6972,3.0
1,131631,1.0
1,591,5.0
1,51497,3.0
1,1911,5.0
1,49040,2.0
1,435,3.0
1,1979,1.0
1,87827,5.0
1,70981,3.0
1,97020,2.0
1,75612,2.0
1,585,2.0
1,1893,3.0
1,2395,1.0
1,12100,5.0
1,49047,5.0
1,2024,2.0
1,40805,3.0
1,39254,4.0
1,77931,1.0
1,8489,5.0
1,10588,4.0
1,1495,2.0
1,10137,1.0
1,10198,4.0
1,98,1.0
1,4982,5.0
1,36955,3.0
1,9268,2.0
1,76163,2.0
1,2059,2.0
1,16523,4.0
1,37710,3.0
1,9946,4.0
1,1372,1.0
1,106646,1.0
1,83542,2.0
1,41216,2.0
1,314,4.0
1,184315,4.0
1,9016,4.0
1,11692,3.0
1,227973,3.0
1,1734,4.0
1,9408,1.0
1,855,5.0
1,18,5.0
1,37786,4.0
1,57800,2.0
1,7980,1.0
1,12,2.0
1,1995,1.0
1,61791,1.0
1,8204,2.0
1,10733,5.0
1,9806,4.0
1,863,4.0
1,44048,2.0
1,5175,4.0
1,2655,3.0
1,22794,2.0
1,8355,2.0
1,116745,1.0
1,4327,2.0
1,10674,3.0
1,65754,1.0
1,10528,1.0
1,2253,3.0
1,686,1.0
1,9383,2.0
1,179,5.0
1,8665,4.0
1,9387,2.0
1,921,5.0
1,4464,3.0
1,52451,4.0
1,59961,3.0
1,9798,5.0
1,22897,5.0
1,853,3.0
1,1904,5.0
1,9615,5.0
1,22538,5.0
1,11253,3.0
1,310,3.0
1,27578,3.0
1,70160,4.0
1,45243,5.0
1,8656,4.0
1,6964,4.0
1,12193,4.0
1,754,4.0
1,50546,1.0
1,13027,2.0
1,2289,2.0
1,9574,4.0
1,11618,5.0
1,12096,1.0
1,8834,3.0
1,228150,2.0
1,6068,1.0
1,49948,5.0
1,9705,2.0
1,12159,3.0
1,9678,4.0
1,4442,2.0
1,19959,2.0
1,11973,4.0
1,11228,1.0
1,8870,2.0
1,36970,1.0
1,453,4.0
1,9533,2.0
1,2023,5.0
1,584,2.0
1,4858,5.0
1,17711,4.0
1,8698,5.0
1,953,2.0
1,9802,2.0
1,11026,4.0
1,75656,4.0
1,38365,5.0
1,594,3.0
1,6538,2.0
1,10555,2.0
1,1125,3.0
1,4551,1.0
1,612,1.0
1,37821,3.0
1,203801,4.0
1,9297,1.0
1,3172,1.0
1,6520,3.0
1,37958,2.0
1,2026,5.0
1,7450,2.0
1,9425,5.0
1,25769,5.0
1,11866,2.0
1,9741,2.0
1,20829,4.0
1,9718,5.0
1,10477,1.0
1,1997,3.0
1,6947,2.0
1,228165,5.0
1,3595,3.0
1,16869,4.0
1,1573,2.0
1,9257,3.0
1,117263,3.0
1,44943,1.0
1,33909,4.0
1,49017,5.0
1,9882,5.0
1,2270,1.0
1,978,5.0
1,44564,3.0
1,52520,2.0
1,10550,3.0
1,59981,3.0
1,201088,3.0
1,3093,3.0
1,107846,4.0
1,188207,3.0
1,4614,1.0
